Date,SSO,UPRO,SPXL,SH,SDS,SPXS,QLD,TQQQ,PSQ,QID,SQQQ,MVV,MYY,MZZ,UWM,TNA,RWM,TWM,TZA,URE,REK,UPW,SDP,EFO,EFZ,EFU,EET,EUM,EEV,UST,TYD,TBX,PST,TYO,UBT,TMF,TBF,TBT,TMV,UGL,GLL,UVXY,TLT
1986-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69170,,,,,,,10.60539
1986-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68715,,,,,,,10.58417
1986-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70741,,,,,,,10.69021
1986-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70279,,,,,,,10.66902
1986-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70658,,,,,,,10.69021
1986-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71668,,,,,,,10.74325
1986-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68867,,,,,,,10.60539
1986-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68475,,,,,,,10.58731
1986-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68436,,,,,,,10.58731
1986-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65715,,,,,,,10.44912
1986-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66077,,,,,,,10.47038
1986-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65635,,,,,,,10.44912
1986-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64996,,,,,,,10.41723
1986-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67744,,,,,,,10.56605
1986-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66682,,,,,,,10.51291
1986-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65834,,,,,,,10.47038
1986-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65596,,,,,,,10.45974
1986-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66158,,,,,,,10.49164
1986-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67125,,,,,,,10.54478
1986-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69928,,,,,,,10.69360
1986-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69888,,,,,,,10.69360
1986-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69222,,,,,,,10.66172
1986-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67940,,,,,,,10.59794
1986-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68923,,,,,,,10.65109
1986-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70121,,,,,,,10.71486
1986-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70915,,,,,,,10.75739
1986-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71295,,,,,,,10.77864
1986-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71465,,,,,,,10.78927
1986-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72268,,,,,,,10.83178
1986-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74148,,,,,,,10.92802
1986-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74105,,,,,,,10.92802
1986-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74060,,,,,,,10.92802
1986-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75540,,,,,,,11.00289
1986-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75275,,,,,,,10.99219
1986-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73035,,,,,,,10.88526
1986-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73854,,,,,,,10.92802
1986-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74679,,,,,,,10.97081
1986-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74639,,,,,,,10.97081
1986-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74816,,,,,,,10.98149
1986-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74994,,,,,,,10.99219
